date,close,high,low,open,quoteVolume,volume,weightedAverage
2015-02-17 09:00:00,0.099,0.099,0.01,0.01,12.2630202,0.99999999,0.08154597
2015-02-18 09:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 09:00:00,0.26000001,0.35,0.08859999,0.08859999,171.26440055,41.33583598,0.24135684
2015-02-20 09:00:00,0.25,0.26000001,0.25,0.26000001,110.97445653,28.84621412,0.25993561
2015-02-21 09:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-22 09:00:00,0.295,0.32,0.27,0.27,39.32958077,11.64215938,0.29601534
2015-02-23 09:00:00,0.35,0.35,0.295,0.31699999,154.76196972,49.94138564,0.32269804
2015-02-24 09:00:00,0.25,0.38,0.25,0.38,6.4680398,1.93752385,0.29955348
2015-02-25 09:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.00109803,0.0002745,0.25000101
2015-02-26 09:00:00,0.25000101,0.379999,0.25000101,0.379999,0.26295599,0.08290054,0.31526395
2015-02-27 09:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.02204182,0.00551047,0.25000111
2015-02-28 09:00:00,0.35,0.5499,0.25000112,0.25000112,40.29510515,16.51404768,0.40982763
2015-03-01 09:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 09:00:00,0.5399,0.5399,0.5399,0.5399,1.01898263,0.55014872,0.5399
2015-03-03 09:00:00,0.497,0.497,0.35,0.35,0.46689605,0.17561324,0.37612921
2015-03-04 09:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-05 09:00:00,0.26,0.26,0.26,0.26,0.00056114,0.00014589,0.26
2015-03-06 09:00:00,0.497,0.497,0.497,0.497,1.10039115,0.5468944,0.497
2015-03-07 09:00:00,0.497,0.497,0.497,0.497,0.00261046,0.00129739,0.497
2015-03-08 09:00:00,0.49699999,0.49699999,0.26,0.49699999,0.49926306,0.23904069,0.47878706
2015-03-09 09:00:00,0.25000223,0.5399,0.25000223,0.49699999,8.04980424,4.21704992,0.52386987
2015-03-10 09:00:00,0.5399,0.5399,0.5399,0.5399,1.26e-06,6.8e-07,0.5399
2015-03-11 09:00:00,0.2611,0.8399,0.261,0.261,21.81849484,5.79880263,0.26577464
2015-03-12 09:00:00,0.2611,0.2611,0.2611,0.2611,0.0,0.0,0.2611
2015-03-13 09:00:00,0.8,0.81,0.6,0.81,4.12267507,3.28134288,0.79592566
2015-03-14 09:00:00,0.79984729,0.79984729,0.6,0.60000001,22.20547199,13.32493425,0.60007435
2015-03-15 09:00:00,0.79984728,0.79984728,0.6,0.60000006,0.05099808,0.03214529,0.6303237
2015-03-16 09:00:00,0.40000001,0.7998473,0.40000001,0.79984728,13.72386489,10.9470935,0.79766841
2015-03-17 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.0,0.0,0.40000001
2015-03-18 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.0,0.0,0.40000001
2015-03-19 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.0,0.0,0.40000001
2015-03-20 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.0026492,0.00105968,0.40000001
2015-03-21 09:00:00,0.99999997,0.99999997,0.40000001,0.40000001,0.07554605,0.06911283,0.9148438
2015-03-22 09:00:00,0.26110001,0.87799298,0.2611,0.87799296,3.33139623,2.29393503,0.68858066
2015-03-23 09:00:00,0.26110001,0.26110001,0.26110001,0.26110001,0.00719959,0.00187981,0.26110001
2015-03-24 09:00:00,0.27800001,0.87799221,0.27800001,0.87799221,0.07313081,0.05643934,0.77175883
2015-03-25 09:00:00,0.87799222,0.87799222,0.278,0.87799221,1.83509211,1.43341181,0.78111164
2015-03-26 09:00:00,0.27800112,0.27800112,0.27800112,0.27800112,0.03136404,0.00871923,0.27800112
2015-03-27 09:00:00,0.27800112,0.87799219,0.27800112,0.27800112,0.03320947,0.02139243,0.64416664
2015-03-28 09:00:00,0.87799216,0.87799216,0.27800113,0.27800113,0.15476795,0.06532317,0.42207175
2015-03-29 09:00:00,0.27800116,0.27800116,0.27800116,0.27800116,0.01020373,0.00283664,0.27800116
2015-03-30 09:00:00,0.84999988,0.87799298,0.27801119,0.27801119,3.57349516,3.06609476,0.85801005
2015-03-31 09:00:00,0.3100067,3.0,0.3100067,0.99999707,0.41994979,0.42106871,1.00266443
2015-04-01 09:00:00,0.33,0.33,0.33,0.33,0.0087186,0.00287713,0.33
2015-04-02 09:00:00,0.33,0.33,0.33,0.33,0.0,0.0,0.33
2015-04-03 09:00:00,0.33,0.33,0.33,0.33,0.0,0.0,0.33
2015-04-04 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.00453155,0.00181262,0.40000001
2015-04-05 09:00:00,0.34,1.0,0.33000001,0.40000001,30.00112382,11.67144292,0.38903352
2015-04-06 09:00:00,0.34,0.34,0.34,0.34,0.00097313,0.00033086,0.34
2015-04-07 09:00:00,0.34,0.34,0.34,0.34,0.0,0.0,0.34
2015-04-08 09:00:00,0.34,0.34,0.34,0.34,0.0,0.0,0.34
2015-04-09 09:00:00,0.35,1.0,0.35,0.35,0.00302252,0.0013982,0.4625971
2015-04-10 09:00:00,0.7955,1.0,0.35,0.35,10.47279485,8.18051103,0.78112014
2015-04-11 09:00:00,0.78000099,0.94999999,0.78000099,0.94999999,11.2682418,8.90207246,0.79001432
2015-04-12 09:00:00,0.91999998,0.93999994,0.78,0.78,0.12480659,0.11618841,0.93094777
2015-04-13 09:00:00,0.75,0.78000001,0.75,0.78000001,56.41690543,43.34455062,0.76829011
2015-04-14 09:00:00,0.5,0.75,0.5,0.72,28.53911276,20.34850784,0.71300422
2015-04-15 09:00:00,0.64999999,0.65,0.34000001,0.34000001,3.6756863,2.38185677,0.64800327
2015-04-16 09:00:00,0.72,0.72,0.64999999,0.64999999,0.18995876,0.12591166,0.66283685
2015-04-17 09:00:00,0.72,0.72,0.64999999,0.71999999,6.6575112,4.63566416,0.69630587
2015-04-18 09:00:00,0.34000004,0.71999999,0.34000002,0.34000002,0.12030174,0.05275002,0.43848101
2015-04-19 09:00:00,0.34000004,0.34000004,0.34000004,0.34000004,0.0,0.0,0.34000004
2015-04-20 09:00:00,0.34000004,0.34000004,0.34000004,0.34000004,0.00493507,0.00167792,0.34000004
2015-04-21 09:00:00,0.34000005,0.72,0.34000005,0.72,0.18930258,0.09583342,0.50624471
2015-04-22 09:00:00,0.7,0.74999989,0.34000005,0.6,7.06810529,5.27553553,0.74638609
2015-04-23 09:00:00,0.71899999,0.74999987,0.34000003,0.34000005,6.80784912,3.28391944,0.48237253
2015-04-24 09:00:00,0.34000007,0.69,0.34000007,0.34000007,0.43615816,0.15188235,0.3482277
2015-04-25 09:00:00,0.34000007,0.34000007,0.34000007,0.34000007,0.0,0.0,0.34000007
2015-04-26 09:00:00,0.34000007,0.34000007,0.34000007,0.34000007,0.0,0.0,0.34000007
2015-04-27 09:00:00,0.59,0.59,0.34000005,0.34000006,0.56135823,0.21141025,0.37660488
2015-04-28 09:00:00,0.59,0.59,0.59,0.59,0.0,0.0,0.59
2015-04-29 09:00:00,0.34000005,0.59,0.34000005,0.59,0.03609868,0.01276735,0.35367935
2015-04-30 09:00:00,0.34000006,0.34000006,0.34000006,0.34000006,0.05119217,0.01740534,0.34000006
2015-05-01 09:00:00,0.57899666,0.58999666,0.34000006,0.58999666,36.52468355,21.54361067,0.58983702
2015-05-02 09:00:00,0.34000008,0.579,0.34000008,0.57899666,0.77378756,0.44791551,0.57886109
2015-05-03 09:00:00,0.34000008,0.57899655,0.34000008,0.34000008,0.01494707,0.00690199,0.46176251
2015-05-04 09:00:00,0.57899622,0.57899622,0.34000008,0.34000008,2.59617404,1.25775807,0.484466
2015-05-05 09:00:00,0.3400001,0.4,0.3400001,0.3400005,6.17175454,2.26756632,0.36741032
2015-05-06 09:00:00,0.34001322,0.57893989,0.34000282,0.34000282,0.39884745,0.17698562,0.44374264
2015-05-07 09:00:00,0.34002649,0.5789306,0.34002548,0.34002549,0.17061869,0.06875197,0.40295685
2015-05-08 09:00:00,0.52103406,0.57892725,0.34004188,0.57892725,2.5258192,1.41825316,0.56150225
2015-05-09 09:00:00,0.52103406,0.52103406,0.52103405,0.52103405,0.64592027,0.33654646,0.52103405
2015-05-10 09:00:00,0.45000001,0.45000001,0.45000001,0.45000001,0.00530251,0.00238612,0.45000001
2015-05-11 09:00:00,0.4,0.45000001,0.36,0.45000001,0.19877848,0.08188255,0.41192869
2015-05-12 09:00:00,0.57313745,0.57313745,0.40000001,0.40000001,0.01564301,0.00769893,0.49216478
2015-05-13 09:00:00,0.57313745,0.57313745,0.57313745,0.57313745,0.0,0.0,0.57313745
2015-05-14 09:00:00,0.41000671,0.57892677,0.4000014,0.51999995,8.19859056,3.70621866,0.45205558
2015-05-15 09:00:00,0.49750667,0.58,0.49750358,0.49999997,22.86288977,12.84159041,0.56167835
2015-05-16 09:00:00,0.63681949,0.63681949,0.56280031,0.56280031,3.33822337,2.03832981,0.61060318
2015-05-17 09:00:00,0.56685025,0.57,0.55998631,0.57,5.35898958,3.04398187,0.56801414
2015-05-18 09:00:00,0.49749997,0.65,0.49749997,0.65,0.08448362,0.04577348,0.54180311
2015-05-19 09:00:00,0.51,0.51000003,0.51,0.51000001,6.65767203,3.39541278,0.51
2015-05-20 09:00:00,0.3060001,0.63997747,0.3060001,0.5,9.4244437,3.71052822,0.39371323
2015-05-21 09:00:00,0.5,0.61779842,0.49995,0.61779841,37.65676554,19.06398931,0.50625668
2015-05-22 09:00:00,0.27955,0.51299999,0.27800118,0.51299999,0.0595977,0.02019555,0.33886466
2015-05-23 09:00:00,0.35000001,0.51298468,0.27950001,0.27955,2.03352782,0.71189444,0.35007853
2015-05-24 09:00:00,0.49998917,0.49998936,0.27950001,0.35000002,8.55568781,3.73070526,0.43604971
2015-05-25 09:00:00,0.49998915,0.49998916,0.2780012,0.2780012,11.29961026,4.50155486,0.39838142
2015-05-26 09:00:00,0.40000001,0.49998434,0.4,0.46000644,40.02247895,18.68230222,0.46679522
2015-05-27 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.00079357,0.00031742,0.40000001
2015-05-28 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.04814,0.019256,0.40000001
2015-05-29 09:00:00,0.40000001,0.40000001,0.40000001,0.40000001,0.0,0.0,0.40000001
2015-05-30 09:00:00,0.48999998,0.48999998,0.40000002,0.40000002,0.01990789,0.00876753,0.44040488
2015-05-31 09:00:00,0.48899998,0.48899998,0.48899998,0.48899998,0.04335218,0.02119921,0.48899998
2015-06-01 09:00:00,0.40000005,0.48899998,0.40000005,0.48899997,3.98896537,1.94990028,0.48882356
2015-06-02 09:00:00,0.40000006,0.48899998,0.40000005,0.40000005,3.10047878,1.24267262,0.40080023
2015-06-03 09:00:00,0.48999997,0.48999997,0.48899997,0.48899997,20.0,9.79996848,0.48999842
2015-06-04 09:00:00,0.40000008,0.40000008,0.40000008,0.40000008,0.28406383,0.11362555,0.40000008
2015-06-05 09:00:00,0.49998916,0.49998916,0.40000008,0.40000008,9.85598628,4.68427077,0.47527164
2015-06-06 09:00:00,0.43,0.51198357,0.43,0.49998916,13.05320681,6.53927665,0.50097089
2015-06-07 09:00:00,0.57,0.57,0.57,0.57,463.51278687,264.20228851,0.57
2015-06-08 09:00:00,0.57,0.57,0.57,0.57,0.0,0.0,0.57
2015-06-09 09:00:00,0.47,0.50000001,0.47,0.50000001,30.05209178,14.52257769,0.48324681
2015-06-10 09:00:00,0.45000008,0.45000008,0.45000008,0.45000008,0.02210911,0.0099491,0.45000008
2015-06-11 09:00:00,0.6389999,0.6389999,0.40000008,0.45000008,4.00408718,1.95985263,0.48946302
2015-06-12 09:00:00,0.35,0.35,0.30000001,0.30000001,20.01110521,6.00388702,0.30002775
2015-06-13 09:00:00,0.44,0.63996657,0.35000001,0.35000001,30.59442198,14.95814412,0.48891736
2015-06-14 09:00:00,0.30001342,0.63996658,0.30001342,0.63995545,6.51585726,4.16934871,0.63987723
2015-06-15 09:00:00,0.39000001,0.39000556,0.30000256,0.30000256,2.22976341,0.86863019,0.38956159
2015-06-16 09:00:00,0.39000001,0.39000001,0.39000001,0.39000001,0.0,0.0,0.39000001
2015-06-17 09:00:00,0.52995879,0.52995879,0.39000002,0.39000002,0.04555893,0.01802191,0.39557377
2015-06-18 09:00:00,0.39000001,0.39000001,0.39000001,0.39000001,0.00934235,0.00364351,0.39000001
2015-06-19 09:00:00,0.39000013,0.52994378,0.39000012,0.52993354,843.17438876,390.22877788,0.46280909
2015-06-20 09:00:00,0.45000025,0.58292659,0.39000684,0.39000684,0.54147593,0.24626123,0.45479628
2015-06-21 09:00:00,0.58290657,0.58290693,0.45000065,0.45000065,3.50539131,2.04198656,0.58252742
2015-06-22 09:00:00,0.45000972,0.5829266,0.45000936,0.45000936,16.73038436,9.74347534,0.58238203
2015-06-23 09:00:00,0.45001079,0.58292659,0.45001079,0.58292659,0.05253577,0.02861485,0.54467366
2015-06-24 09:00:00,0.50033302,0.56040106,0.39,0.45001707,3601.75959845,1765.66110359,0.4902218
2015-06-25 09:00:00,0.50033302,0.50033302,0.50033302,0.50033302,2.94846673,1.47521526,0.50033302
2015-06-26 09:00:00,0.50033302,0.50033302,0.50033302,0.50033302,0.0,0.0,0.50033302
2015-06-27 09:00:00,0.52535718,0.52535718,0.45000001,0.45000001,0.00561322,0.00265704,0.47335444
2015-06-28 09:00:00,0.45,0.52535718,0.45,0.45000003,1.193881,0.5392453,0.45167424
2015-06-29 09:00:00,0.45,0.45,0.45,0.45,0.0,0.0,0.45
2015-06-30 09:00:00,0.44000073,0.44000073,0.44000073,0.44000073,0.00137724,0.00060598,0.44000073
2015-07-01 09:00:00,0.45000062,0.45000062,0.45000062,0.45000062,0.01192632,0.00536685,0.45000062
2015-07-02 09:00:00,0.45000062,0.45000062,0.45000062,0.45000062,0.0,0.0,0.45000062
2015-07-03 09:00:00,0.45000062,0.45000062,0.45000062,0.45000062,0.0,0.0,0.45000062
2015-07-04 09:00:00,0.51800538,0.51800538,0.45000109,0.45000109,0.01205335,0.00580465,0.48158061
2015-07-05 09:00:00,0.4500011,0.52947719,0.4500011,0.51800538,130.91890261,65.57361893,0.50087204
2015-07-06 09:00:00,0.45000111,0.52993054,0.45000109,0.4500011,89.90730587,46.00609518,0.51170585
2015-07-07 09:00:00,0.50296952,0.50296952,0.45000112,0.50193052,5.34786804,2.68297292,0.50169018
2015-07-08 09:00:00,0.45000112,0.51993054,0.45000112,0.50296951,11.73362911,6.01300899,0.51245943
2015-07-09 09:00:00,0.45000113,0.51992469,0.45000113,0.51992469,277.50559423,125.17040419,0.45105542
2015-07-10 09:00:00,0.45000283,0.53947718,0.45000121,0.51992463,25.53358112,13.41971077,0.52557103
2015-07-11 09:00:00,0.53947717,0.53947717,0.51947718,0.51947718,18.23179522,9.57929718,0.52541711
2015-07-12 09:00:00,0.6304256,0.6304256,0.51000013,0.53947717,105.37529288,59.09219107,0.56077842
2015-07-13 09:00:00,0.6304256,0.6304256,0.6304256,0.6304256,0.0,0.0,0.6304256
2015-07-14 09:00:00,0.52000155,0.62999989,0.52000145,0.52000145,0.05025422,0.02805362,0.55823423
2015-07-15 09:00:00,0.52000253,0.52000253,0.52000253,0.52000253,0.08756295,0.04553295,0.52000253
2015-07-16 09:00:00,0.46000041,0.52000265,0.46000041,0.52000265,10.52454472,5.47121473,0.51985286
2015-07-17 09:00:00,0.46000113,0.59996926,0.46000067,0.46000067,0.21022635,0.12286737,0.5844528
2015-07-18 09:00:00,0.46000181,0.59994335,0.46000147,0.46000147,0.02965176,0.01537988,0.51868382
2015-07-19 09:00:00,0.59000624,0.59000624,0.46000971,0.46000971,0.84131822,0.39405618,0.46837947
2015-07-20 09:00:00,0.59000624,0.59000624,0.59000624,0.59000624,0.0,0.0,0.59000624
2015-07-21 09:00:00,0.46001576,0.58996471,0.46001576,0.58996469,0.4970096,0.2922644,0.58804579
2015-07-22 09:00:00,0.46001576,0.5980031,0.46001576,0.5980016,0.55242628,0.32114817,0.58134123
2015-07-23 09:00:00,0.5980031,0.5980031,0.4610002,0.4610002,2.69531982,1.48777927,0.55198617
2015-07-24 09:00:00,0.5980031,0.5980031,0.5980031,0.5980031,0.0,0.0,0.5980031
2015-07-25 09:00:00,0.46100183,0.46100183,0.46100183,0.46100183,0.0360479,0.01661814,0.46100183
2015-07-26 09:00:00,0.46100183,0.46100183,0.46100183,0.46100183,0.0,0.0,0.46100183
2015-07-27 09:00:00,0.46100183,0.46100183,0.46100183,0.46100183,0.0,0.0,0.46100183
2015-07-28 09:00:00,0.62996998,0.62996998,0.55000001,0.5980031,10.39951117,5.93267726,0.57047655
2015-07-29 09:00:00,0.55000002,0.62996998,0.55,0.55000001,0.10104879,0.05635457,0.5576967
2015-07-30 09:00:00,0.62996998,0.62996998,0.46100302,0.62996998,1.22173006,0.69407851,0.56811118
2015-07-31 09:00:00,0.46100304,0.62996998,0.46100302,0.46100302,0.1822893,0.10323365,0.5663177
2015-08-01 09:00:00,0.62996997,0.62996997,0.46100304,0.46100304,442.0777892,220.69590115,0.49922413
2015-08-02 09:00:00,0.62996995,0.62996995,0.461003,0.46100351,124.75709602,72.97905916,0.5849692
2015-08-03 09:00:00,0.46100401,0.62888887,0.46100401,0.46100401,3.35835786,1.55124057,0.46190449
2015-08-04 09:00:00,0.46100402,0.6288888,0.46100402,0.6288888,0.17757173,0.08253693,0.464809
2015-08-05 09:00:00,0.46100402,0.46100402,0.46100402,0.46100402,0.0,0.0,0.46100402
