date,close,high,low,open,quoteVolume,volume,weightedAverage
2015-02-17 09:00:00,0.099,0.099,0.01,0.01,12.2630202,0.99999999,0.08154597
2015-02-17 13:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-17 17:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-17 21:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-18 01:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-18 05:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-18 09:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-18 13:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-18 17:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-18 21:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 01:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 05:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 09:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 13:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 17:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-19 21:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-20 01:00:00,0.099,0.099,0.099,0.099,0.0,0.0,0.099
2015-02-20 05:00:00,0.26000001,0.35,0.08859999,0.08859999,171.26440055,41.33583598,0.24135684
2015-02-20 09:00:00,0.26000001,0.26000001,0.26000001,0.26000001,0.3,0.078,0.26000001
2015-02-20 13:00:00,0.26000001,0.26000001,0.26000001,0.26000001,0.0,0.0,0.26000001
2015-02-20 17:00:00,0.25,0.26000001,0.25,0.26000001,110.59025413,28.74716351,0.259943
2015-02-20 21:00:00,0.25,0.25,0.25,0.25,0.06950499,0.01737624,0.25
2015-02-21 01:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-21 05:00:00,0.25,0.25,0.25,0.25,0.01469741,0.00367435,0.25
2015-02-21 09:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-21 13:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-21 17:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-21 21:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-22 01:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-22 05:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-22 09:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-22 13:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-22 17:00:00,0.32,0.32,0.27,0.27,14.75851639,4.44512305,0.30119037
2015-02-22 21:00:00,0.32,0.32,0.32,0.32,0.0,0.0,0.32
2015-02-23 01:00:00,0.32,0.32,0.32,0.32,0.0,0.0,0.32
2015-02-23 05:00:00,0.295,0.295,0.29,0.29,24.57106438,7.19703633,0.29290698
2015-02-23 09:00:00,0.33,0.33,0.295,0.31699999,145.56196972,46.73238564,0.32104804
2015-02-23 13:00:00,0.295,0.295,0.295,0.295,0.2,0.059,0.295
2015-02-23 17:00:00,0.295,0.295,0.295,0.295,0.0,0.0,0.295
2015-02-23 21:00:00,0.295,0.295,0.295,0.295,0.0,0.0,0.295
2015-02-24 01:00:00,0.35,0.35,0.35,0.35,5.04044159,1.76415455,0.35
2015-02-24 05:00:00,0.35,0.35,0.35,0.35,3.95955841,1.38584544,0.35
2015-02-24 09:00:00,0.38,0.38,0.38,0.38,2.46549156,0.93688679,0.38
2015-02-24 13:00:00,0.38,0.38,0.38,0.38,0.0,0.0,0.38
2015-02-24 17:00:00,0.25,0.25000001,0.25,0.25000001,4.00254824,1.00063706,0.25
2015-02-24 21:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-25 01:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-25 05:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-25 09:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-25 13:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-25 17:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-25 21:00:00,0.25,0.25,0.25,0.25,0.0,0.0,0.25
2015-02-26 01:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.00109803,0.0002745,0.25000101
2015-02-26 05:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
2015-02-26 09:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
2015-02-26 13:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
2015-02-26 17:00:00,0.25000111,0.379999,0.25000111,0.379999,0.11748158,0.02946424,0.25079886
2015-02-26 21:00:00,0.37999,0.37999,0.25000101,0.25000101,0.13679758,0.05126708,0.374766
2015-02-27 01:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.00867683,0.00216921,0.25000101
2015-02-27 05:00:00,0.25000101,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
2015-02-27 09:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.02204182,0.00551047,0.25000111
2015-02-27 13:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
2015-02-27 17:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
2015-02-27 21:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
2015-02-28 01:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
2015-02-28 05:00:00,0.25000111,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
2015-02-28 09:00:00,0.3995,0.3995,0.25000112,0.25000112,0.0668352,0.02015835,0.3016129
2015-02-28 13:00:00,0.3995,0.3995,0.3995,0.3995,0.0,0.0,0.3995
2015-02-28 17:00:00,0.3995,0.3995,0.3995,0.3995,0.0,0.0,0.3995
2015-02-28 21:00:00,0.41,0.41,0.4099,0.4099,29.39537416,12.0501034,0.40993196
2015-03-01 01:00:00,0.40999999,0.40999999,0.40999999,0.40999999,0.00109145,0.00044749,0.40999999
2015-03-01 05:00:00,0.35,0.5499,0.35,0.40999999,10.83180434,4.44333843,0.41021221
2015-03-01 09:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-01 13:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-01 17:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-01 21:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 01:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 05:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 09:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 13:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 17:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-02 21:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-03 01:00:00,0.5399,0.5399,0.5399,0.5399,1.01898263,0.55014872,0.5399
2015-03-03 05:00:00,0.5399,0.5399,0.5399,0.5399,0.0,0.0,0.5399
2015-03-03 09:00:00,0.5399,0.5399,0.5399,0.5399,0.0,0.0,0.5399
2015-03-03 13:00:00,0.5399,0.5399,0.5399,0.5399,0.0,0.0,0.5399
2015-03-03 17:00:00,0.35,0.35,0.35,0.35,0.38390539,0.13436688,0.35
2015-03-03 21:00:00,0.35,0.35,0.35,0.35,0.0,0.0,0.35
2015-03-04 01:00:00,0.497,0.497,0.497,0.497,0.08299066,0.04124635,0.497
2015-03-04 05:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-04 09:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-04 13:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-04 17:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-04 21:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-05 01:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-05 05:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-05 09:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-05 13:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-05 17:00:00,0.26,0.26,0.26,0.26,0.00056114,0.00014589,0.26
2015-03-05 21:00:00,0.26,0.26,0.26,0.26,0.0,0.0,0.26
2015-03-06 01:00:00,0.26,0.26,0.26,0.26,0.0,0.0,0.26
2015-03-06 05:00:00,0.26,0.26,0.26,0.26,0.0,0.0,0.26
2015-03-06 09:00:00,0.26,0.26,0.26,0.26,0.0,0.0,0.26
2015-03-06 13:00:00,0.497,0.497,0.497,0.497,0.96186606,0.47804743,0.497
2015-03-06 17:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-06 21:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-07 01:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-07 05:00:00,0.497,0.497,0.497,0.497,0.13852509,0.06884696,0.497
2015-03-07 09:00:00,0.497,0.497,0.497,0.497,0.00261046,0.00129739,0.497
2015-03-07 13:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-07 17:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-07 21:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-08 01:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-08 05:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-08 09:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-08 13:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-08 17:00:00,0.497,0.497,0.497,0.497,0.0,0.0,0.497
2015-03-08 21:00:00,0.49699999,0.49699999,0.26,0.49699999,0.13641917,0.05870728,0.43034484
2015-03-09 01:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.36284389,0.1803334,0.49699999
2015-03-09 05:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.0,0.0,0.49699999
2015-03-09 09:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.0,0.0,0.49699999
2015-03-09 13:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.0,0.0,0.49699999
2015-03-09 17:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.0,0.0,0.49699999
2015-03-09 21:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.0,0.0,0.49699999
2015-03-10 01:00:00,0.49699999,0.49699999,0.49699999,0.49699999,0.0,0.0,0.49699999
